"combination [range0, range1, ep_max, c1, c2]",gBest_fitness,total_time
"[-10, 10, 50, 200, 2.5, 2]",5.102943545194858,2.53
"[-10, 10, 50, 200, 2.5, 2]",4.028398010894202,2.01
"[-10, 10, 50, 200, 2.5, 2]",3.9236656300280814,2.16
"[-10, 10, 50, 200, 2.5, 2]",5.110535772041616,1.98
"[-10, 10, 50, 200, 2.5, 2]",4.008419590351592,1.84
"[-10, 10, 50, 200, 2.5, 2]",5.611557022582522,2.09
"[-10, 10, 50, 200, 2.5, 2]",4.089759878141193,2.04
"[-10, 10, 50, 200, 2.5, 2]",5.925669863703655,1.83
"[-10, 10, 100, 200, 2.5, 2]",2.4874980701928813,7.15
"[-10, 10, 100, 200, 2.5, 2]",3.729085423382264,6.41
"[-10, 10, 100, 200, 2.5, 2]",2.1566019657536932,5.72
"[-10, 10, 100, 200, 2.5, 2]",3.923156324770332,5.47
"[-10, 10, 100, 200, 2.5, 2]",3.20679554027548,4.31
"[-10, 10, 100, 200, 2.5, 2]",1.4164908387833923,4.01
"[-10, 10, 100, 200, 2.5, 2]",1.3004476170728743,4.58
"[-10, 10, 100, 200, 2.5, 2]",2.6490941360924802,3.87
"[-10, 10, 100, 200, 2.5, 2]",1.4382347603499035,4.13
"[-10, 10, 100, 200, 2.5, 2]",3.6121280425231834,3.91
"[-10, 10, 100, 200, 2.5, 2]",3.923633545508726,3.96
"[-10, 10, 100, 200, 2.5, 2]",1.9770109550459596,3.82
"[-10, 10, 100, 200, 2.5, 2]",2.2440995720919363,4.21
