"combination = [fitness_function_name, dimension, range0, range1, m, n, l1, l2, max_ep, c1, c2, c3, c4, function evaluation]",gBest_fitness,total_time
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",775.9613901026809,345.4469350000145
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",775.445641009306,343.1441740000155
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",775.9834279650767,350.8566400000127
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",776.2938383488577,333.61835600004997
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",772.8659289070841,350.7959989999654
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",776.3293223758138,349.2094340000767
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",774.7311009162281,347.74418899999
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",775.7566917676407,332.3540000000503
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",772.1340233168448,338.3143610000843
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",774.8654786359135,333.00818500004243
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",774.8182512573339,345.5945710000815
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",779.7014535919471,341.7040879999986
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",779.4446515188092,345.6352089999709
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",773.5283961737292,349.01701499999035
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",776.4989509060471,354.691458000103
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",780.1202565703866,345.41090900008567
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",781.4967394520888,335.80575700011104
"['f20', 20, -10, 10, 20, 5, 10, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",778.5018406053003,328.3975559999235
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.4853769822482,409.876571000088
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.5215588007966,420.20397999999113
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",776.9116048767606,416.26105500000995
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",776.754197357527,412.55412899993826
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",780.3975275634614,409.5526690001134
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",778.4339444487347,405.1552930000471
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",774.4045421939958,423.19943100004457
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",778.6625078872062,409.46266700001433
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",776.0711634637886,400.5170939998934
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",779.7531730550492,411.41276099998504
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.4614505528423,425.78532900009304
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.1889304333752,395.8097799998941
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",775.9267299945361,419.5936320000328
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",778.7429288851292,417.4328819999937
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",775.6303393328568,399.7962280000793
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",778.6042739916304,412.7339299999876
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.4616599540874,427.9796230000211
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",781.0072709091396,430.27392299997155
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",777.0283279743196,411.75284299999475
"['f20', 20, -10, 10, 20, 5, 20, 200, 5, 2.05, 2.05, 2.05, 2.05, 30000]",776.6784245301927,409.6002359999111
"['f20', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",777.7031127121018,354.34745800006203
"['f20', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",776.9931071160295,338.1168170000892
"['f20', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",777.9870651129467,347.7990920000011
"['f20', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",782.1055991126321,337.4258240000345
"['f20', 20, -10, 10, 20, 10, 5, 200, 5, 2.05, 2.05, 2.05, 2.05, 25000]",774.3177465952604,352.0537089999998
